aircraft_type,country,type_of_travellers,route,seat_types,seat_comfort,cabin_staff_service,ground_service,food_beverages,wifi_connectivity,inflight_entertainment,value_for_money,recommended
A319,United Kingdom,Couple Leisure,Valencia to London Gatwick,Business Class,4.0,5.0,1.0,3.0,0.0,0.0,4.0,no
A320 / Boeing 767,United Kingdom,Business,London to Edinburgh,Business Class,2.0,2.0,3.0,1.0,0.0,0.0,2.0,no
A319,United Kingdom,Couple Leisure,London Gatwick to Valencia,Business Class,4.0,5.0,4.0,4.0,0.0,0.0,4.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,Antigua to Gatwick,Premium Economy,1.0,1.0,1.0,1.0,0.0,1.0,1.0,yes
Boeing 767,United Kingdom,Solo Leisure,London Heathrow to Madrid,Business Class,2.0,1.0,4.0,1.0,0.0,0.0,2.0,no
A319,United Kingdom,Family Leisure,Gatwick to Alicante,Business Class,3.0,5.0,5.0,4.0,0.0,0.0,5.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,Gatwick to Antigua,Economy Class,1.0,2.0,2.0,1.0,0.0,1.0,2.0,no
E190,United Kingdom,Business,London City to Milan,Business Class,2.0,4.0,2.0,1.0,0.0,1.0,1.0,no
Boeing 747 & A319,Switzerland,Couple Leisure,Boston to Geneva via Heathrow,Premium Economy,2.0,4.0,1.0,2.0,0.0,3.0,2.0,no
A320,United Kingdom,Couple Leisure,Gatwick to Bordeaux,Economy Class,1.0,2.0,1.0,1.0,0.0,0.0,1.0,yes
Boeing 747-400,United Kingdom,Business,London to Boston,Premium Economy,1.0,3.0,1.0,1.0,1.0,1.0,1.0,no
A320,Turkey,Family Leisure,Istanbul to London,Economy Class,1.0,2.0,3.0,2.0,0.0,0.0,3.0,no
A380,Australia,Couple Leisure,London Heathrow to Sydney via Singapore,Premium Economy,2.0,2.0,2.0,2.0,0.0,3.0,1.0,no
Boeing 777-300,United Kingdom,Solo Leisure,London Heathrow to Hong Kong,Premium Economy,4.0,4.0,5.0,4.0,0.0,4.0,2.0,yes
Boeing 747,United Kingdom,Family Leisure,London to Dubai,First Class,3.0,5.0,1.0,2.0,0.0,2.0,1.0,no
A380,Canada,Business,London to Vancouver,Business Class,2.0,1.0,4.0,1.0,0.0,3.0,1.0,no
Boeing 787-9,United Kingdom,Couple Leisure,Tokyo to London Heathrow,Premium Economy,3.0,1.0,3.0,1.0,0.0,4.0,2.0,no
Boeing 747,United Kingdom,Family Leisure,Heathrow to Miami,Economy Class,1.0,2.0,3.0,1.0,0.0,1.0,2.0,no
A19,United Kingdom,Couple Leisure,London Heathrow to Brussels,Economy Class,4.0,4.0,5.0,0.0,0.0,0.0,4.0,yes
Boeing 777,United Kingdom,Couple Leisure,Lima to London Gatwick,Business Class,3.0,1.0,3.0,2.0,0.0,2.0,1.0,no
A380-800,United Kingdom,Couple Leisure,London to Johannesburg,Economy Class,1.0,1.0,1.0,2.0,0.0,5.0,1.0,no
Boeing 747-400 / A320,United States,Solo Leisure,Washington to Sofia via London,Premium Economy,5.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
Boeing 767,United Kingdom,Couple Leisure,Rome to London Heathrow,Business Class,1.0,1.0,1.0,1.0,0.0,0.0,1.0,no
Boeing 747-400,United Kingdom,Business,Chicago to London Heathrow,Business Class,1.0,1.0,1.0,1.0,1.0,4.0,1.0,no
A321,United Kingdom,Couple Leisure,Gatwick to Funchal,Economy Class,1.0,2.0,3.0,0.0,0.0,0.0,1.0,no
Boeing 787-9,United Kingdom,Couple Leisure,London Heathrow to Tokyo Narita,First Class,4.0,2.0,5.0,1.0,0.0,3.0,1.0,no
A320,United Kingdom,Couple Leisure,Luxembourg to London,Business Class,2.0,3.0,3.0,1.0,1.0,1.0,2.0,no
A319,United Kingdom,Family Leisure,Heathrow to Bergen,Economy Class,3.0,2.0,2.0,1.0,1.0,1.0,1.0,no
Boeing 787-8,United Kingdom,Business,Seoul to London,Business Class,4.0,5.0,3.0,4.0,0.0,3.0,3.0,no
Boeing 777,United Kingdom,Couple Leisure,Gatwick to Lima,Business Class,4.0,4.0,3.0,4.0,0.0,2.0,4.0,yes
A320,United Kingdom,Business,London Heathrow to Santorini,Business Class,1.0,2.0,2.0,1.0,0.0,0.0,1.0,no
A320,United Kingdom,Solo Leisure,London Heathrow to Bilbao,Economy Class,3.0,3.0,4.0,0.0,0.0,0.0,2.0,no
Boeing 787-9,Ireland,Solo Leisure,Kuala Lumpur to London,Economy Class,4.0,1.0,5.0,1.0,0.0,5.0,4.0,yes
Boeing 787,Ireland,Solo Leisure,London to Kuala Lumpur,Economy Class,4.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
Boeing 747-400,United Kingdom,Business,London Heathrow to Miami,Business Class,2.0,4.0,1.0,1.0,0.0,1.0,1.0,no
A321 / Boeing 777,Russian Federation,Solo Leisure,Moscow to Houston via London,Economy Class,3.0,3.0,3.0,3.0,0.0,3.0,4.0,yes
A319,United Kingdom,Business,London to Brussels,Economy Class,3.0,4.0,4.0,0.0,1.0,1.0,2.0,no
Boeing 747,United Kingdom,Couple Leisure,London to San Francisco,Economy Class,4.0,5.0,4.0,5.0,0.0,4.0,4.0,yes
A321 / Boeing 777-300,Netherlands,Couple Leisure,Amsterdam to Tokyo via London,Economy Class,4.0,5.0,3.0,4.0,0.0,4.0,4.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,Antigua to Gatwick,Business Class,3.0,2.0,4.0,2.0,0.0,2.0,3.0,no
Boeing 777-200,United Kingdom,Family Leisure,Orlando to Gatwick,Economy Class,5.0,5.0,5.0,5.0,0.0,3.0,5.0,yes
Boeing 777,United Kingdom,Solo Leisure,London to Toronto,Premium Economy,4.0,5.0,4.0,4.0,0.0,0.0,4.0,yes
Boeing 787,Italy,Business,London to Santiago de Chile,Business Class,3.0,4.0,3.0,2.0,0.0,4.0,3.0,no
A320,United Kingdom,Business,Gatwick to Amsterdam,Economy Class,3.0,5.0,1.0,3.0,0.0,0.0,2.0,no
Boeing 767,United Kingdom,Couple Leisure,London Heathrow to Nice,Economy Class,1.0,2.0,4.0,1.0,0.0,0.0,1.0,no
Boeing 747-400,United Kingdom,Couple Leisure,London to Cape Town,Economy Class,1.0,1.0,4.0,1.0,0.0,3.0,1.0,no
A320,United Kingdom,Couple Leisure,LHR to TXL,Business Class,4.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
Boeing 777,United Kingdom,Couple Leisure,Rio de Janeiro to London,Premium Economy,1.0,1.0,1.0,1.0,0.0,1.0,1.0,no
A320,United Kingdom,Business,London to Edinburgh,Economy Class,2.0,1.0,1.0,0.0,0.0,0.0,1.0,no
Boeing 777-300,United Kingdom,Couple Leisure,Gatwick to Antigua,Business Class,4.0,4.0,4.0,3.0,0.0,1.0,4.0,yes
A320,United Kingdom,Business,Berlin Tegel to London,Business Class,3.0,5.0,4.0,3.0,1.0,2.0,4.0,yes
Embraer,United Kingdom,Solo Leisure,London City to Bergerac,Economy Class,3.0,4.0,3.0,3.0,0.0,0.0,4.0,no
Boeing 777 200/300,United Kingdom,Business,London Heathrow to Bangkok,Premium Economy,2.0,1.0,3.0,1.0,0.0,2.0,2.0,no
A380 and Boeing 747,United Kingdom,Couple Leisure,London Heathrow to Miami,First Class,4.0,5.0,5.0,3.0,0.0,4.0,5.0,no
A380,United Kingdom,Business,Singapore to London Heathrow,Economy Class,3.0,4.0,5.0,3.0,0.0,4.0,4.0,yes
A320,United Kingdom,Solo Leisure,Nice to London Heathrow,Economy Class,1.0,1.0,1.0,1.0,0.0,0.0,1.0,no
A320,United Kingdom,Family Leisure,Keflavik to London ,Economy Class,1.0,1.0,1.0,0.0,0.0,1.0,1.0,no
Boeing 747-400,United Kingdom,Couple Leisure,Glasgow to Chicago via Heathrow,Premium Economy,1.0,3.0,3.0,2.0,0.0,1.0,1.0,no
Boeing 777 200,Bahrain,Business,Bahrain to Dublin via london,Business Class,0.0,0.0,1.0,0.0,0.0,0.0,1.0,no
A319,United Kingdom,Solo Leisure,London to Edinburgh,Economy Class,3.0,1.0,4.0,1.0,0.0,0.0,1.0,no
A320,Slovakia,Solo Leisure,London Heathrow to Vienna,Economy Class,2.0,1.0,4.0,1.0,0.0,0.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,Hong Kong to London Heathrow,Economy Class,3.0,3.0,5.0,2.0,0.0,3.0,3.0,yes
A320,United Kingdom,Couple Leisure,London Heathrow to Budapest,Economy Class,4.0,1.0,3.0,1.0,0.0,0.0,2.0,no
A380,Portugal,Family Leisure,London to Boston,Economy Class,5.0,5.0,4.0,5.0,0.0,5.0,4.0,yes
Boeing 787-8,United Kingdom,Couple Leisure,Newark to London Heathrow,First Class,3.0,4.0,3.0,1.0,0.0,2.0,3.0,no
Boeing 777-200,United Kingdom,Couple Leisure,London to Newark,First Class,3.0,4.0,4.0,2.0,0.0,2.0,2.0,no
A320,United Kingdom,Couple Leisure,Pisa to Gatwick,Business Class,2.0,4.0,2.0,4.0,0.0,0.0,2.0,no
A380-800,United Kingdom,Couple Leisure,Heathrow to San Francisco,Economy Class,4.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
A319,United Kingdom,Couple Leisure,Gatwick to Pisa,Business Class,2.0,4.0,4.0,1.0,0.0,0.0,2.0,no
Boeing 777,United Kingdom,Couple Leisure,St Lucia to Gatwick,Business Class,5.0,5.0,5.0,5.0,0.0,5.0,4.0,yes
A380,United Kingdom,Couple Leisure,Singapore to London Heathrow,Economy Class,4.0,3.0,4.0,2.0,0.0,3.0,3.0,no
Boeing 777,United Kingdom,Solo Leisure,Bangkok to London Heathrow,Economy Class,3.0,3.0,2.0,1.0,1.0,1.0,1.0,no
Boeing 787-8,United Kingdom,Business,London to Seoul,Economy Class,1.0,4.0,4.0,2.0,0.0,3.0,2.0,no
A380,United States,Couple Leisure,Heathrow to San Francisco,Premium Economy,5.0,5.0,3.0,5.0,0.0,4.0,5.0,yes
Boeing 777-300,Italy,Business,Buenos Aires to London,Business Class,2.0,4.0,4.0,3.0,0.0,3.0,3.0,no
A319,United Kingdom,Couple Leisure,Gatwick to Pisa,Business Class,2.0,5.0,5.0,1.0,0.0,0.0,3.0,no
A319,Germany,Business,Stuttgart to London,Economy Class,2.0,1.0,1.0,1.0,0.0,0.0,1.0,no
A319,United Kingdom,Family Leisure,Nice to Gatwick,Business Class,2.0,4.0,3.0,1.0,0.0,0.0,1.0,no
Boeing 777-200ER,United Kingdom,Solo Leisure,London LGW to Lima,Business Class,5.0,5.0,5.0,4.0,0.0,3.0,4.0,yes
