aircraft_type,country,type_of_travellers,route,seat_types,seat_comfort,cabin_staff_service,ground_service,food_beverages,wifi_connectivity,inflight_entertainment,value_for_money,recommended
A350,Germany,Business,Hamburg to Las Vegas via London,Premium Economy,2.0,2.0,1.0,2.0,0.0,3.0,1.0,no
A320,United Kingdom,Couple Leisure,London Heathrow to Porto,Business Class,3.0,4.0,4.0,3.0,0.0,0.0,4.0,yes
Boeing 787,United Kingdom,Couple Leisure,London to Santiago,Business Class,3.0,5.0,2.0,4.0,0.0,0.0,5.0,yes
A320,United Kingdom,Couple Leisure,London Heathrow to Faro,Business Class,0.0,0.0,1.0,0.0,0.0,0.0,1.0,no
A320,Germany,Couple Leisure,London to Munich,Economy Class,1.0,3.0,1.0,1.0,1.0,1.0,1.0,no
A321,Iceland,Couple Leisure,London to Keflavik,Business Class,3.0,4.0,4.0,3.0,3.0,0.0,4.0,yes
Boeing 777-200,Iceland,Couple Leisure,Mumbai to London,Business Class,4.0,3.0,4.0,3.0,3.0,3.0,4.0,yes
A380,Australia,Solo Leisure,London to Miami,Business Class,1.0,1.0,3.0,2.0,0.0,1.0,1.0,no
A321,United Kingdom,Couple Leisure,London to Lanzarote,Economy Class,3.0,2.0,2.0,0.0,0.0,1.0,3.0,no
A320,United Kingdom,Solo Leisure,London to Malaga,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
A320,United Kingdom,Couple Leisure,Tenerife to Gatwick,Business Class,1.0,3.0,1.0,1.0,1.0,0.0,1.0,no
A320,United Kingdom,Business,London Heathrow to Malaga ,Business Class,2.0,2.0,1.0,2.0,1.0,0.0,2.0,no
Boeing 777-300,United States,Couple Leisure,LHR to LAX,Business Class,4.0,5.0,5.0,3.0,0.0,5.0,4.0,yes
A320neo,United Kingdom,Solo Leisure,Larnaca to London Heathrow,Business Class,3.0,3.0,3.0,1.0,0.0,0.0,1.0,yes
A380,United States,Family Leisure,Washington to London,Economy Class,4.0,5.0,1.0,3.0,0.0,2.0,4.0,yes
A380,United Kingdom,Family Leisure,London to Miami,Business Class,4.0,5.0,4.0,5.0,5.0,5.0,4.0,yes
Embraer-190,United Kingdom,Couple Leisure,Edinburgh to London City,Economy Class,4.0,4.0,5.0,3.0,0.0,0.0,5.0,yes
A380 / A320,Poland,Business,San Francisco to Warsaw via London,Economy Class,3.0,5.0,1.0,4.0,3.0,5.0,1.0,no
Embraer,United Kingdom,Business,Frankfurt to London City,Economy Class,3.0,3.0,1.0,1.0,0.0,0.0,1.0,no
Boeing 777,Hong Kong,Solo Leisure,London to Hong Kong,Business Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
Boeing 787-8,Iceland,Couple Leisure,London to Mumbai,Business Class,4.0,5.0,4.0,5.0,0.0,3.0,4.0,yes
A320,Iceland,Couple Leisure,Keflavik  to London,Business Class,3.0,5.0,2.0,4.0,4.0,0.0,3.0,yes
A321,Qatar,Family Leisure,Madrid to London,Business Class,1.0,1.0,1.0,0.0,0.0,0.0,1.0,no
E190,United Kingdom,Business,Amsterdam to London City ,Economy Class,3.0,4.0,1.0,3.0,0.0,0.0,2.0,no
A320,United Kingdom,Couple Leisure,Dalaman to Gatwick ,Business Class,3.0,5.0,5.0,4.0,0.0,0.0,3.0,no
Boeing 787,United Kingdom,Solo Leisure,Seattle to London Heathrow,Economy Class,2.0,2.0,3.0,1.0,0.0,3.0,3.0,no
A320,United Kingdom,Couple Leisure,Gatwick to Dalaman ,Economy Class,1.0,1.0,1.0,1.0,0.0,0.0,1.0,no
A320 A350,United Kingdom,Family Leisure,Newcastle to Las Vegas via Heathrow,Business Class,4.0,5.0,4.0,4.0,0.0,3.0,4.0,yes
A380,United Kingdom,Solo Leisure,London to Miami,Business Class,1.0,1.0,1.0,1.0,0.0,0.0,1.0,no
A320Neo,United Kingdom,Solo Leisure,Amman to London,Economy Class,3.0,1.0,4.0,1.0,3.0,1.0,3.0,no
Boeing 777,United Kingdom,Couple Leisure,Chennai to London ,Premium Economy,3.0,2.0,4.0,1.0,0.0,1.0,1.0,no
A321neo,United States,Couple Leisure,Istanbul to London,Economy Class,2.0,2.0,1.0,0.0,0.0,0.0,1.0,no
Boeing 777 -200,United Kingdom,Family Leisure,Kingston to London,Premium Economy,5.0,4.0,3.0,4.0,0.0,3.0,3.0,no
Boeing 777,United Kingdom,Business,PHL to LHR,First Class,4.0,4.0,5.0,1.0,0.0,0.0,1.0,no
Boeing 777-200,South Africa,Couple Leisure,London Heathrow to Cape Town,Economy Class,1.0,3.0,3.0,1.0,0.0,3.0,2.0,no
A380,Greece,Business,Washington to London,Business Class,3.0,3.0,1.0,3.0,0.0,3.0,1.0,no
A321,Italy,Couple Leisure,London Heathrow to Naples,Economy Class,1.0,4.0,2.0,1.0,0.0,0.0,2.0,no
A320,Senegal,Solo Leisure,Berlin to London,Economy Class,5.0,5.0,4.0,3.0,5.0,0.0,5.0,yes
A321Neo,United Kingdom,Couple Leisure,Cairo to London,Economy Class,1.0,1.0,2.0,1.0,1.0,1.0,1.0,no
A321 neo,United Kingdom,Solo Leisure,Heathrow to Bodrum,Business Class,1.0,1.0,1.0,1.0,0.0,0.0,1.0,no
Boeing 747-400,United Kingdom,Couple Leisure,LHR to BOS,Business Class,5.0,4.0,5.0,3.0,0.0,4.0,4.0,yes
Embraer 190,United Kingdom,Family Leisure,London City to Ibiza,Business Class,3.0,5.0,3.0,3.0,0.0,0.0,3.0,yes
A350,United States,Business,Amsterdam to London,Business Class,3.0,3.0,2.0,3.0,1.0,2.0,2.0,no
Boeing 737,United Kingdom,Couple Leisure,London Heathrow to Kalamata,Economy Class,1.0,4.0,3.0,3.0,0.0,0.0,3.0,yes
Boeing 787,United Kingdom,Family Leisure,Santiago to London,Economy Class,1.0,2.0,4.0,2.0,0.0,4.0,1.0,no
Boeing 777,United States,Business,Seattle to Edinburgh via Heathrow,Economy Class,2.0,4.0,2.0,4.0,1.0,4.0,2.0,no
A350,United Kingdom,Solo Leisure,Vancouver to London Heathrow,Business Class,5.0,5.0,4.0,4.0,0.0,5.0,4.0,yes
Boeing 777-300,United Kingdom,Family Leisure,London to New York,Premium Economy,4.0,4.0,4.0,3.0,5.0,5.0,4.0,yes
A320,Canada,Couple Leisure,Lisbon to London ,Economy Class,1.0,3.0,1.0,0.0,1.0,1.0,2.0,no
A320,Chile,Solo Leisure,London to Glasgow,Economy Class,5.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
A320 Finnair,United Kingdom,Business,London Heathrow to Malaga ,Business Class,2.0,2.0,1.0,3.0,1.0,1.0,1.0,no
A319,United Kingdom,Couple Leisure,London to Nice,Business Class,2.0,3.0,4.0,3.0,1.0,0.0,1.0,no
Boeing 787-9,Australia,Solo Leisure,Sydney to London via Singapore,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Boeing 787,United Kingdom,Couple Leisure,Singapore to London,Business Class,4.0,2.0,3.0,1.0,1.0,5.0,1.0,no
Boeing 777,United States,Couple Leisure,Seattle to Zagreb via London,Premium Economy,3.0,2.0,3.0,1.0,1.0,1.0,2.0,no
Boeing 777,Canada,Family Leisure,"Bangalore to Toronto via London, ",Premium Economy,2.0,1.0,1.0,2.0,0.0,3.0,1.0,no
Dreamliner,Ireland,Family Leisure,London to Denver,Economy Class,2.0,1.0,1.0,1.0,1.0,3.0,2.0,no
A350,United Kingdom,Solo Leisure,London to Hong Kong,Premium Economy,4.0,5.0,4.0,4.0,0.0,3.0,4.0,yes
A320,United Kingdom,Business,Heathrow to Malaga,Business Class,3.0,3.0,3.0,4.0,1.0,0.0,2.0,no
A350,United Kingdom,Couple Leisure,Las Vegas to London,Economy Class,1.0,1.0,4.0,1.0,1.0,4.0,1.0,no
A320,United Kingdom,Solo Leisure,Faro to Heathrow,Business Class,5.0,5.0,3.0,5.0,0.0,0.0,5.0,yes
Boeing 777,United Kingdom,Couple Leisure,London to Atlanta,Business Class,4.0,3.0,2.0,2.0,3.0,3.0,3.0,no
A319,United Kingdom,Couple Leisure,Belfast to London,Economy Class,4.0,4.0,4.0,3.0,0.0,0.0,4.0,yes
Boeing 787,United Kingdom,Business,London to Hong Kong,Premium Economy,2.0,2.0,4.0,3.0,5.0,3.0,3.0,no
Boeing 777,United Kingdom,Business,London to New York,Business Class,3.0,2.0,3.0,2.0,1.0,2.0,2.0,no
Boeing 777-200,United Kingdom,Solo Leisure,Mumbai to London,Economy Class,4.0,5.0,4.0,3.0,5.0,5.0,5.0,yes
Boeing 787 / A320,Netherlands,Couple Leisure,Mexico City to Amsterdam via London,Business Class,4.0,5.0,4.0,5.0,0.0,0.0,5.0,yes
A321Neo,France,Couple Leisure,Cairo to London,Economy Class,1.0,4.0,4.0,1.0,1.0,1.0,2.0,no
Boeing 777,India,Solo Leisure,Mumbai to Nassau via London,Premium Economy,4.0,4.0,3.0,2.0,1.0,3.0,3.0,yes
A380,United States,Couple Leisure,Johannesburg to London,First Class,4.0,5.0,1.0,4.0,4.0,4.0,2.0,no
A320,United Kingdom,Couple Leisure,Gatwick to Dubrovnik,Economy Class,1.0,3.0,5.0,2.0,0.0,0.0,5.0,yes
A320,United Kingdom,Solo Leisure,Geneva to London,Economy Class,2.0,3.0,1.0,3.0,0.0,0.0,2.0,no
A321,United Kingdom,Business,London Heathrow to Arlanda Stockholm,Economy Class,5.0,5.0,5.0,2.0,0.0,0.0,5.0,yes
Boeing 777 / A320,United States,Solo Leisure,New York to Istanbul via London,Economy Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
A321neo,Canada,Business,London to Cairo,Business Class,1.0,2.0,3.0,1.0,0.0,1.0,1.0,no
Boeing 787,United Kingdom,Solo Leisure,London Singapore ,Economy Class,3.0,5.0,5.0,5.0,0.0,4.0,4.0,yes
A380,Belgium,Business,London to Dubai,Business Class,2.0,3.0,4.0,2.0,0.0,3.0,3.0,yes
A320,Belgium,Business,Brussels to London,Business Class,2.0,4.0,4.0,4.0,0.0,0.0,4.0,yes
A320,United Arab Emirates,Couple Leisure,Faro to Gatwick ,Economy Class,2.0,2.0,5.0,1.0,0.0,0.0,2.0,no
A320,United Kingdom,Family Leisure,Oslo to London,Economy Class,3.0,3.0,2.0,1.0,0.0,0.0,3.0,no
A320,United Kingdom,Solo Leisure,London to Madrid,Economy Class,2.0,1.0,1.0,1.0,0.0,0.0,2.0,no
Boeing 787-9,United Kingdom,Couple Leisure,Mexico City to London,Business Class,5.0,5.0,5.0,4.0,0.0,4.0,5.0,yes
A320,Spain,Solo Leisure,Palma to Gatwick,Economy Class,5.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
A320,United Kingdom,Business,London Heathrow to Glasgow,Economy Class,5.0,5.0,5.0,4.0,5.0,0.0,5.0,yes
Boeing 777-300,United Kingdom,Solo Leisure,London to Vancouver,Premium Economy,4.0,4.0,4.0,1.0,0.0,1.0,1.0,no
A380,United Kingdom,Solo Leisure,Heathrow to Johannesburg,First Class,4.0,5.0,5.0,4.0,3.0,3.0,4.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,Cape Town to London,Business Class,4.0,5.0,4.0,5.0,4.0,4.0,4.0,yes
Boeing 777-300ER,United Kingdom,Couple Leisure,London to Male,Business Class,5.0,5.0,5.0,5.0,2.0,5.0,4.0,yes
Boeing 787-8,United Kingdom,Family Leisure,London to Tel Aviv,Economy Class,4.0,5.0,4.0,4.0,4.0,3.0,5.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,London Heathrow to Cape Town,Business Class,3.0,5.0,4.0,5.0,5.0,5.0,4.0,yes
Boeing 777-200,United Kingdom,Family Leisure,Atlanta to London,Economy Class,1.0,1.0,1.0,1.0,0.0,3.0,2.0,no
A380,United Kingdom,Family Leisure,London to Chicago,Economy Class,3.0,2.0,3.0,3.0,0.0,4.0,2.0,no
"A320, A380",United States,Family Leisure,Vienna to Los Angeles via London Heathrow,Business Class,1.0,2.0,1.0,1.0,1.0,1.0,1.0,no
A321,United Kingdom,Business,London to Belfast,Economy Class,4.0,5.0,5.0,3.0,0.0,0.0,4.0,yes
A380,United Kingdom,Business,Doha to London,Economy Class,5.0,3.0,5.0,1.0,0.0,1.0,4.0,no
Boeing 777,United Kingdom,Couple Leisure,London to Barbados,Business Class,3.0,4.0,4.0,4.0,0.0,2.0,3.0,no
Boeing 777,United Kingdom,Solo Leisure,London Gatwick to Cape Town,Premium Economy,3.0,4.0,2.0,4.0,0.0,2.0,3.0,no
A350,United Kingdom,Solo Leisure,Cape Town to London,Business Class,4.0,3.0,1.0,2.0,0.0,2.0,2.0,no
A320,France,Couple Leisure,Marseille to London,Economy Class,3.0,3.0,4.0,2.0,0.0,0.0,5.0,yes
Boeing 777-300,United Kingdom,Couple Leisure,London to Male,First Class,2.0,2.0,3.0,1.0,1.0,1.0,1.0,no
A320,United Kingdom,Solo Leisure,Keflavik to London Heathrow,Economy Class,2.0,3.0,1.0,0.0,0.0,0.0,1.0,no
A321,United Kingdom,Business,London to Rome,Business Class,4.0,4.0,1.0,5.0,4.0,0.0,4.0,yes
Boeing 777,United Kingdom,Couple Leisure,Barbados to London Heathrow,Business Class,1.0,1.0,1.0,1.0,0.0,1.0,1.0,no
Boeing 777-200,New Zealand,Solo Leisure,Doha to  Gatwick,Economy Class,2.0,5.0,3.0,4.0,0.0,4.0,5.0,yes
A320,United Kingdom,Business,Glasgow to London,Business Class,5.0,5.0,5.0,3.0,3.0,3.0,3.0,no
Boeing 777,United Kingdom,Couple Leisure,London to Boston,Premium Economy,3.0,4.0,3.0,3.0,0.0,0.0,3.0,yes
A320,Czech Republic,Solo Leisure,London to Prague,Business Class,2.0,1.0,2.0,1.0,0.0,0.0,1.0,no
Boeing 787-9,United States,Business,Denver to London,Economy Class,1.0,1.0,1.0,1.0,0.0,3.0,1.0,no
A320,United Kingdom,Solo Leisure,London to Marrakech,Business Class,3.0,5.0,4.0,5.0,0.0,0.0,3.0,yes
A380,United States,Solo Leisure,San Francisco to London,Economy Class,2.0,1.0,3.0,2.0,1.0,2.0,2.0,no
A320,United Kingdom,Solo Leisure,London to Lisbon,Business Class,3.0,4.0,3.0,4.0,0.0,0.0,3.0,yes
Boeing 787 / A320,Canada,Solo Leisure,Montreal to Edinburgh via London Heathrow,Economy Class,4.0,4.0,4.0,4.0,0.0,4.0,4.0,yes
Boeing 777,United Kingdom,Solo Leisure,London to Cape Town,Business Class,4.0,2.0,1.0,1.0,0.0,4.0,1.0,no
Boeing 787-8,Malaysia,Solo Leisure,Baltimore to London Heathrow,Economy Class,1.0,3.0,2.0,3.0,0.0,1.0,3.0,yes
A320,United Kingdom,Solo Leisure,London Heathrow to Gibraltar,Economy Class,2.0,1.0,3.0,1.0,0.0,0.0,3.0,no
Boeing 777,United Kingdom,Solo Leisure,London Heathrow to Nairobi,Business Class,3.0,1.0,1.0,1.0,1.0,2.0,1.0,no
A350-1000,United States,Solo Leisure,London to Los Angeles,Business Class,5.0,4.0,3.0,5.0,5.0,5.0,5.0,yes
A320,United States,Solo Leisure,Copenhagen to Heathrow,Business Class,3.0,5.0,4.0,5.0,5.0,0.0,5.0,yes
A320,United Kingdom,Family Leisure,Larnaca to London,Economy Class,1.0,2.0,2.0,1.0,0.0,1.0,2.0,no
Boeing 787-10,United States,Couple Leisure,Atlanta to London,Business Class,5.0,4.0,5.0,4.0,5.0,5.0,4.0,yes
A380,United States,Solo Leisure,Madrid to San Francisco via London,Business Class,3.0,1.0,3.0,1.0,0.0,4.0,1.0,no
A380,Malaysia,Solo Leisure,London to Washington,Economy Class,3.0,5.0,2.0,5.0,0.0,3.0,5.0,yes
A380,United Kingdom,Couple Leisure,London to San Francisco,Economy Class,1.0,1.0,1.0,3.0,5.0,3.0,1.0,no
Boeing 777-300,United States,Couple Leisure,London to Los Angeles,Economy Class,3.0,4.0,4.0,3.0,0.0,4.0,4.0,yes
Boeing 777,United Kingdom,Couple Leisure,Miami to London Heathrow,Business Class,5.0,5.0,4.0,3.0,0.0,2.0,3.0,yes
A380,United Kingdom,Solo Leisure,Dubai to London,Business Class,4.0,4.0,4.0,4.0,2.0,2.0,3.0,yes
A320neo,United States,Couple Leisure,London to Cairo,Economy Class,1.0,1.0,4.0,1.0,1.0,0.0,1.0,no
Boeing 777,United States,Solo Leisure,Orlando to London Gatwick,Business Class,5.0,5.0,5.0,5.0,4.0,5.0,4.0,yes
A321neo,United Kingdom,Business,London to Cairo,Economy Class,2.0,4.0,3.0,1.0,2.0,0.0,1.0,no
A380,United States,Couple Leisure,Dallas to London,Economy Class,2.0,4.0,4.0,2.0,0.0,4.0,3.0,yes
A319,United Kingdom,Couple Leisure,Jersey to London Heathrow,Business Class,4.0,4.0,3.0,4.0,0.0,0.0,4.0,yes
A320,United Kingdom,Couple Leisure,London Heathrow to Jersey,Business Class,4.0,5.0,3.0,4.0,0.0,0.0,4.0,yes
A320-200,United States,Solo Leisure,Istanbul to London Heathrow,Business Class,1.0,3.0,3.0,2.0,0.0,1.0,2.0,no
Boeing 777-200,United States,Solo Leisure,London Heathrow to New York JFK,Business Class,5.0,4.0,5.0,4.0,0.0,4.0,5.0,yes
A320,United Kingdom,Couple Leisure,London to Lisbon,Economy Class,4.0,5.0,3.0,1.0,0.0,0.0,3.0,yes
Boeing 777,New Zealand,Family Leisure,London to Rome,Economy Class,4.0,4.0,1.0,3.0,0.0,0.0,2.0,no
Boeing 787,United Kingdom,Couple Leisure,Tel Aviv to London,Economy Class,5.0,5.0,3.0,5.0,0.0,5.0,4.0,yes
Boeing 777,South Africa,Family Leisure,Cape Town to London Heathrow,Economy Class,2.0,1.0,4.0,1.0,0.0,3.0,3.0,no
A320,United Kingdom,Solo Leisure,London to Marrakesh,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
A380,United Kingdom,Family Leisure,San Francisco to London,Business Class,4.0,5.0,4.0,4.0,5.0,4.0,4.0,yes
A320,United Kingdom,Solo Leisure,London to Amman,Economy Class,1.0,1.0,1.0,0.0,0.0,0.0,1.0,no
A350-1000,United Kingdom,Couple Leisure,Sao Paulo to Heathrow ,Economy Class,1.0,2.0,3.0,3.0,0.0,1.0,3.0,yes
A321,Australia,Couple Leisure,London to Reykjavik,Economy Class,3.0,4.0,1.0,1.0,0.0,0.0,4.0,yes
A321,United Kingdom,Business,Belfast to London,Economy Class,4.0,5.0,2.0,2.0,0.0,0.0,4.0,yes
A350,United Kingdom,Family Leisure,London to Los Angeles,Business Class,4.0,4.0,5.0,4.0,5.0,5.0,4.0,yes
Embraer 190,United States,Couple Leisure,Dublin to London City,Business Class,4.0,4.0,1.0,3.0,0.0,0.0,1.0,no
"A320, Boeing 787",Italy,Solo Leisure,Venice to Baltimore via London Heathrow,Premium Economy,3.0,3.0,1.0,3.0,1.0,2.0,2.0,no
A350,South Africa,Couple Leisure,London Heathrow to Johannesburg,Economy Class,1.0,3.0,2.0,3.0,0.0,2.0,4.0,no
A350,United Kingdom,Business,London to Johannesburg,Economy Class,1.0,4.0,3.0,1.0,1.0,2.0,2.0,no
A320,United Kingdom,Couple Leisure,Paris CDG to London Heathrow,Economy Class,1.0,4.0,2.0,1.0,1.0,1.0,1.0,no
A320,United Kingdom,Business,London to Malaga,Business Class,3.0,2.0,2.0,2.0,3.0,0.0,3.0,no
A380,Canada,Solo Leisure,Vancouver to London,Economy Class,1.0,2.0,2.0,1.0,0.0,3.0,3.0,no
Boeing 777-200,United Kingdom,Couple Leisure,London to san Francisco,Business Class,4.0,4.0,2.0,3.0,4.0,5.0,4.0,yes
Boeing 777,United Kingdom,Couple Leisure,Cancun to London Gatwick,Premium Economy,4.0,3.0,3.0,2.0,0.0,4.0,3.0,no
A320,United Kingdom,Couple Leisure,London to Thira,Business Class,5.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
A380,United Kingdom,Solo Leisure,Vancouver to London,Business Class,4.0,5.0,2.0,3.0,4.0,4.0,5.0,yes
Boeing 777-300ER,United Kingdom,Business,London to Boston,Economy Class,4.0,5.0,5.0,5.0,5.0,0.0,3.0,yes
Boeing 777,South Africa,Couple Leisure,Johannesburg to London Heathrow,Business Class,4.0,4.0,3.0,3.0,0.0,0.0,3.0,yes
Boeing 777-300,United Kingdom,Family Leisure,Bridgetown to London ,Economy Class,1.0,5.0,3.0,1.0,0.0,3.0,1.0,no
A320,United Kingdom,Solo Leisure,London Heathrow to Malaga,Economy Class,3.0,2.0,1.0,1.0,1.0,1.0,3.0,no
A320,United Kingdom,Couple Leisure,Athens to London,Business Class,2.0,4.0,3.0,3.0,2.0,0.0,2.0,no
Boeing 787,United Kingdom,Solo Leisure,London to Mexico City,Premium Economy,5.0,4.0,4.0,4.0,0.0,3.0,4.0,yes
Boeing 777,United Arab Emirates,Solo Leisure,Dubai to Milan Malpensa via London,Premium Economy,5.0,5.0,5.0,5.0,3.0,5.0,5.0,yes
Boeing 777,Botswana,Solo Leisure,London to Cape Town,Economy Class,2.0,1.0,1.0,2.0,0.0,0.0,1.0,no
A321 Neo,Panama,Family Leisure,Madrid to London Heathrow,Business Class,3.0,5.0,5.0,5.0,0.0,0.0,4.0,yes
A320,United Kingdom,Couple Leisure,Dubrovnik to London Heathrow,Business Class,4.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
A320,United Kingdom,Solo Leisure,Pisa to London Heathrow,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Boeing 737 800,South Africa,Couple Leisure,Johannesburg to Durban,Economy Class,1.0,1.0,1.0,1.0,0.0,0.0,1.0,no
A320,Sweden,Couple Leisure,Gothenburg to Manchester via London,Economy Class,3.0,3.0,1.0,1.0,1.0,0.0,1.0,no
Boeing 787,United Kingdom,Solo Leisure,Chicago to London,Business Class,5.0,5.0,3.0,5.0,0.0,4.0,4.0,yes
A380,United Kingdom,Family Leisure,Glasgow to Washington via London,Economy Class,4.0,5.0,4.0,4.0,3.0,3.0,3.0,yes
A320neo,United Kingdom,Business,Malaga to London,Business Class,2.0,4.0,2.0,2.0,1.0,0.0,2.0,no
Boeing 787-9,United Kingdom,Solo Leisure,London to Rio De Janeiro,Business Class,5.0,5.0,4.0,5.0,2.0,5.0,5.0,yes
A321neo,Greece,Family Leisure,London to Athens,Economy Class,3.0,1.0,3.0,1.0,0.0,0.0,4.0,no
A320 / Boeing 777,France,Couple Leisure,Phoenix to Paris via London,Business Class,3.0,2.0,2.0,2.0,0.0,1.0,2.0,no
Boeing 777-200,United States,Business,Phoenix to London Heathrow,Business Class,5.0,5.0,4.0,5.0,3.0,5.0,5.0,yes
Embraer,United Kingdom,Solo Leisure,Edinburgh to London City,Business Class,5.0,5.0,5.0,5.0,0.0,0.0,4.0,yes
Boeing 777-200ER,United Kingdom,Solo Leisure,Vancouver to London,Business Class,4.0,4.0,2.0,4.0,5.0,4.0,5.0,yes
A319,United Kingdom,Couple Leisure,London to Venice,Business Class,2.0,4.0,2.0,2.0,0.0,0.0,3.0,yes
A320,United Kingdom,Business,London to Barcelona,Business Class,1.0,1.0,1.0,1.0,0.0,0.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,Barbados to Heathrow,Business Class,2.0,3.0,4.0,3.0,0.0,1.0,3.0,yes
A320,Switzerland,Business,Geneva to London,Business Class,4.0,5.0,1.0,4.0,3.0,0.0,4.0,no
Boeing 777,United Kingdom,Couple Leisure,London to Barbados,Business Class,4.0,5.0,4.0,4.0,0.0,2.0,4.0,yes
Boeing 777,United Kingdom,Couple Leisure,Cape Town to London Heathrow,Business Class,3.0,3.0,3.0,1.0,0.0,0.0,1.0,no
A320,United Kingdom,Business,London to Malaga,Business Class,2.0,1.0,1.0,2.0,0.0,1.0,1.0,no
Boeing 777-200,United Kingdom,Couple Leisure,Cape Town to London,Business Class,2.0,1.0,3.0,1.0,0.0,2.0,2.0,no
Boeing 787-9,United Kingdom,Couple Leisure,London to Austin,Economy Class,4.0,1.0,1.0,1.0,0.0,1.0,3.0,no
Boeing 787-900,United Kingdom,Solo Leisure,Singapore to London,First Class,5.0,1.0,2.0,1.0,0.0,4.0,2.0,no
A350,United Kingdom,Family Leisure,Dublin to Dubai via London,Economy Class,3.0,4.0,3.0,3.0,0.0,1.0,3.0,no
A321-neo,United Kingdom,Business,London Heathrow to Sofia,Business Class,3.0,5.0,1.0,2.0,1.0,0.0,2.0,no
Boeing 777,United Kingdom,Solo Leisure,Cape Town to Glasgow via London,Premium Economy,3.0,3.0,2.0,2.0,0.0,3.0,3.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,London to Cape Town,Business Class,3.0,3.0,3.0,2.0,0.0,1.0,3.0,no
A320,United Kingdom,Couple Leisure,Lisbon to London,Business Class,1.0,3.0,3.0,1.0,0.0,0.0,1.0,no
A350,United Kingdom,Solo Leisure,Vancouver to London,Premium Economy,4.0,5.0,4.0,5.0,4.0,5.0,5.0,yes
A320,United Kingdom,Business,London to Malaga,Business Class,3.0,3.0,3.0,2.0,3.0,0.0,2.0,no
A322,Greece,Business,London to Athens,Economy Class,2.0,3.0,1.0,1.0,0.0,0.0,1.0,no
Boeing 787-9,United Kingdom,Family Leisure,Washington to London,Business Class,4.0,5.0,5.0,4.0,4.0,4.0,4.0,yes
A320,United Arab Emirates,Business,Dublin to London,Business Class,0.0,0.0,0.0,0.0,0.0,0.0,1.0,no
Boeing 787-9,United Kingdom,Family Leisure,London to Washington,Business Class,4.0,5.0,5.0,5.0,5.0,4.0,4.0,yes
Boeing 787-9,United Kingdom,Couple Leisure,Atlanta to Belfast via Heathrow,Business Class,4.0,5.0,5.0,4.0,0.0,4.0,5.0,yes
Boeing 777,United Kingdom,Couple Leisure,Cape Town to London Heathrow,Business Class,3.0,4.0,3.0,2.0,0.0,4.0,3.0,yes
Boeing 777,United Kingdom,Couple Leisure,London Heathrow to Orlando,Business Class,2.0,4.0,3.0,3.0,0.0,1.0,3.0,no
A380,United Kingdom,Couple Leisure,London Heathrow to Dubai,Economy Class,2.0,1.0,1.0,1.0,0.0,2.0,1.0,no
Boeing 737-800,South Africa,Couple Leisure,Cape Town to Durban,Business Class,3.0,2.0,4.0,3.0,0.0,0.0,3.0,yes
A319,United Kingdom,Business,Glasgow to London Heathrow,Business Class,2.0,1.0,2.0,1.0,0.0,0.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,London to Cape Town,Business Class,3.0,3.0,4.0,2.0,1.0,5.0,3.0,yes
A320-200,United Kingdom,Solo Leisure,Edinburgh to London,Business Class,4.0,5.0,5.0,4.0,5.0,0.0,4.0,yes
A320-200,United Kingdom,Solo Leisure,London to Edinburgh,Business Class,4.0,5.0,3.0,5.0,0.0,0.0,4.0,yes
A380,United Kingdom,Family Leisure,London Heathrow to Los Angeles,Economy Class,1.0,4.0,2.0,1.0,0.0,1.0,1.0,no
Boeing 777,United Kingdom,Business,London to St Lucia,Economy Class,5.0,5.0,5.0,4.0,0.0,0.0,5.0,yes
Boeing 787,United Kingdom,Couple Leisure,London to Chicago,First Class,4.0,5.0,4.0,5.0,5.0,3.0,4.0,yes
A320,United Arab Emirates,Solo Leisure,London to Istanbul,Business Class,1.0,2.0,1.0,3.0,1.0,1.0,2.0,no
Boeing 777,United Kingdom,Couple Leisure,Dubai to London Heaathrow,Business Class,4.0,2.0,1.0,3.0,3.0,4.0,4.0,yes
A320,United Kingdom,Solo Leisure,London to Aberdeen,Economy Class,0.0,0.0,1.0,0.0,0.0,0.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,London Gatwick to Cancun,Business Class,1.0,5.0,5.0,3.0,0.0,2.0,3.0,no
A320,United Kingdom,Business,London Heathrow to Paris CDG,Business Class,3.0,4.0,1.0,4.0,0.0,0.0,3.0,no
A321 neo,United Kingdom,Solo Leisure,London to Tenerife,Business Class,3.0,2.0,4.0,3.0,0.0,0.0,2.0,no
